기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%),유학생수_원본,언어비율_원본,유학생수_점수_70,언어능력_점수_30,외국인학생_점수
2025.0,서울,삼육대학교,361,148,23,5,11,0,141,47,93,1,75.4,361.0,75.4,5.05804643714972,22.62,27.67804643714972
2025.0,서울,상명대학교,194,107,14,4,27,0,35,34,0,1,23.0,194.0,23.0,2.7181745396317054,6.9,9.618174539631706
2025.0,충남,상명대학교_제2캠퍼스,45,6,0,3,22,0,6,6,0,0,19.4,45.0,19.4,0.6305044035228182,5.819999999999999,6.450504403522817
2025.0,강원,상지대학교,75,49,16,4,0,0,11,11,0,0,15.9,75.0,15.9,1.0508406725380304,4.7700000000000005,5.820840672538031
2025.0,서울,서강대학교,2021,806,14,90,0,0,507,423,76,8,55.7,2021.0,55.7,28.316653322658123,16.71,45.02665332265812
2025.0,서울,서경대학교,1077,64,0,0,624,0,310,310,0,0,45.1,1077.0,45.1,15.090072057646116,13.530000000000001,28.62007205764612
2025.0,서울,서울과학기술대학교,1129,257,12,231,72,0,483,483,0,0,84.4,1129.0,84.4,15.818654923939151,25.320000000000004,41.13865492393916
2025.0,서울,서울교육대학교,6,0,0,0,0,0,0,0,0,0,0.0,6.0,0.0,0.08406725380304243,0.0,0.08406725380304243
2025.0,서울,서울기독대학교,838,533,305,0,0,0,659,0,659,0,78.6,838.0,78.6,11.741393114491594,23.58,35.32139311449159
2025.0,서울,서울대학교,1383,77,28,64,11,0,83,83,0,0,46.1,1383.0,46.1,19.377502001601282,13.83,33.207502001601284
2025.0,서울,서울디지털대학교,62,29,0,11,22,0,0,0,0,0,0.0,62.0,0.0,0.8686949559647719,0.0,0.8686949559647719
2025.0,서울,서울사이버대학교,62,41,1,12,8,0,0,0,0,0,0.0,62.0,0.0,0.8686949559647719,0.0,0.8686949559647719
