기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%)
2025.0,서울,동덕여자대학교,56,31,5,0,19,0,7,7,0,0,12.7
2025.0,부산,동명대학교,1056,600,3,354,45,0,794,50,743,1,79.2
2025.0,부산,동서대학교,1497,252,2,66,41,0,232,57,174,1,64.3
2025.0,전남,동신대학교,989,647,11,110,19,0,604,82,522,0,76.7
2025.0,부산,동아대학교,1676,464,17,40,9,0,307,178,129,0,57.9
2025.0,경북,동양대학교,725,385,0,30,1,0,121,21,100,0,29.1
2025.0,부산,동의대학교,586,309,3,222,7,0,493,51,442,0,91.1
2025.0,서울,디지털서울문화예술대학교,34,26,0,0,8,0,0,0,0,0,0.0
2025.0,경기,명지대학교,301,0,5,41,110,0,72,41,31,0,46.2
2025.0,서울,명지대학교_제2캠퍼스,2127,1190,7,7,0,0,476,476,0,0,39.5
2025.0,대전,목원대학교,1494,539,11,22,23,0,183,183,0,0,30.8
2025.0,대전,배재대학교,1131,228,22,29,26,0,89,89,0,0,29.2
2025.0,충남,백석대학교,469,158,96,0,70,0,173,39,134,0,53.4
2025.0,부산,부산가톨릭대학교,614,494,3,9,0,0,48,48,0,0,9.5
2025.0,부산,부산대학교,1134,281,76,161,76,0,515,403,111,1,86.7
2025.0,부산,부산디지털대학교,48,48,0,0,0,0,0,0,0,0,0.0
2025.0,부산,부산외국어대학교,1192,768,0,36,6,0,185,185,0,0,22.8
2025.0,서울,사이버한국외국어대학교,312,312,0,0,0,0,0,0,0,0,0.0
2025.0,서울,삼육대학교,361,148,23,5,11,0,141,47,93,1,75.4
2025.0,서울,상명대학교,194,107,14,4,27,0,35,34,0,1,23.0
2025.0,충남,상명대학교_제2캠퍼스,45,6,0,3,22,0,6,6,0,0,19.4
2025.0,강원,상지대학교,75,49,16,4,0,0,11,11,0,0,15.9
2025.0,서울,서강대학교,2021,806,14,90,0,0,507,423,76,8,55.7
2025.0,서울,서경대학교,1077,64,0,0,624,0,310,310,0,0,45.1
2025.0,서울,서울과학기술대학교,1129,257,12,231,72,0,483,483,0,0,84.4
2025.0,서울,서울교육대학교,6,0,0,0,0,0,0,0,0,0,0.0
2025.0,서울,서울기독대학교,838,533,305,0,0,0,659,0,659,0,78.6
2025.0,서울,서울대학교,1383,77,28,64,11,0,83,83,0,0,46.1
2025.0,서울,서울디지털대학교,62,29,0,11,22,0,0,0,0,0,0.0
2025.0,서울,서울사이버대학교,62,41,1,12,8,0,0,0,0,0,0.0
2025.0,서울,서울시립대학교,725,185,9,48,9,0,239,239,0,0,95.2
2025.0,경기,서울신학대학교,407,11,0,1,2,0,7,7,0,0,50.0
2025.0,서울,서울여자대학교,1131,601,86,0,17,0,240,240,0,0,34.1
2025.0,경기,서울장신대학교,42,42,0,0,0,0,42,2,40,0,100.0
2025.0,서울,서울한영대학교,308,226,0,0,0,0,76,3,71,2,33.6
2025.0,충북,서원대학교,1001,923,2,3,5,0,113,32,81,0,12.1
2025.0,충남,선문대학교,2200,917,33,158,59,0,701,443,254,4,60.1
2025.0,경기,성결대학교,388,33,0,1,13,0,32,32,0,0,68.1
2025.0,서울,성공회대학교,275,223,0,1,0,0,78,6,72,0,34.8
2025.0,서울,성균관대학교,3911,1739,58,287,186,0,2064,1942,45,77,90.9
2025.0,서울,성신여자대학교,890,53,13,10,65,0,113,98,15,0,80.1
2025.0,충북,세명대학교,237,31,15,3,12,0,41,41,0,0,67.2
2025.0,서울,세종대학교,2844,873,1,526,230,0,1212,282,901,29,74.4
2025.0,서울,세종사이버대학교,134,70,2,54,8,0,0,0,0,0,0.0
2025.0,전남,세한대학교,62,46,1,1,14,0,2,2,0,0,3.2
2025.0,광주,송원대학교,400,217,0,3,8,0,46,46,0,0,20.2
2025.0,경기,수원가톨릭대학교,1,1,0,0,0,0,1,1,0,0,100.0
2025.0,경기,수원대학교,73,11,0,0,3,0,5,5,0,0,35.7
2025.0,서울,숙명여자대학교,520,120,10,3,27,0,95,69,26,0,59.4
2025.0,충남,순천향대학교,675,430,12,117,5,0,291,171,120,0,51.6
2025.0,서울,숭실대학교,2479,1549,3,182,18,0,1144,1144,0,0,65.3
2025.0,서울,숭실사이버대학교,98,95,0,3,0,0,0,0,0,0,0.0
2025.0,경북,신경주대학교,168,97,0,0,3,0,96,2,94,0,96.0
2025.0,부산,신라대학교,1093,332,20,228,41,0,156,85,61,10,25.1
2025.0,경기,신한대학교,10,4,0,4,0,0,2,2,0,0,25.0
2025.0,경기,신한대학교_제2캠퍼스,1127,433,104,98,83,0,87,87,0,0,12.1
2025.0,경기,아신대학교,2,2,0,0,0,0,0,0,0,0,0.0
2025.0,경기,아주대학교,2411,541,9,387,0,0,533,524,9,0,56.9
2025.0,경기,안양대학교,16,5,0,3,2,0,3,3,0,0,30.0
2025.0,강원,연세대학교(미래)_분교,622,487,33,14,0,9,94,93,0,1,17.3
2025.0,서울,연세대학교,4740,1772,153,252,1,5,1319,854,317,148,60.4
2025.0,경북,영남대학교,1439,576,41,142,75,0,177,177,0,0,21.2
2025.0,경북,영남신학대학교,28,17,0,0,0,0,1,1,0,0,5.9
2025.0,경남,영산대학교(양산)_제2캠퍼스,98,1,10,87,0,0,31,0,31,0,31.6
2025.0,부산,영산대학교(해운대),842,498,50,0,60,0,407,33,374,0,66.9
2025.0,전남,영산선학대학교,2,2,0,0,0,0,2,2,0,0,100.0
2025.0,전북,예원예술대학교,104,0,0,0,90,0,22,16,5,1,24.4
2025.0,경기,예원예술대학교_제2캠퍼스,309,270,0,0,14,0,272,4,267,1,95.8
2025.0,경기,용인대학교,138,9,5,0,21,0,31,31,0,0,88.6
2025.0,전북,우석대학교,1111,719,58,45,43,3,50,50,0,0,5.8
2025.0,대전,우송대학교,2302,1388,2,381,237,0,1101,22,888,191,54.8
2025.0,울산,울산과학기술원,84,9,2,51,0,0,60,0,54,6,96.8
2025.0,울산,울산대학교,257,78,2,14,12,0,45,44,1,0,42.5
2025.0,전북,원광대학교,132,39,11,4,8,1,8,8,0,0,12.7
2025.0,전북,원광디지털대학교,54,21,8,0,25,0,0,0,0,0,0.0
2025.0,경북,위덕대학교,93,40,1,2,0,0,32,32,0,0,74.4
2025.0,충북,유원대학교,185,33,5,0,1,0,10,10,0,0,25.6
2025.0,대전,을지대학교,2,0,0,0,0,2,2,2,0,0,100.0
2025.0,경기,을지대학교_제2캠퍼스,18,2,7,0,0,0,4,4,0,0,44.4
2025.0,경기,을지대학교_제3캠퍼스,1,0,1,0,0,0,1,1,0,0,100.0
2025.0,서울,이화여자대학교,2089,1128,49,63,104,0,804,729,68,7,59.8
2025.0,경남,인제대학교,893,211,8,32,6,0,143,121,22,0,55.6
2025.0,인천,인천가톨릭대학교,6,6,0,0,0,0,2,2,0,0,33.3
2025.0,인천,인천가톨릭대학교_제2캠퍼스,1,0,0,0,1,0,0,0,0,0,0.0
2025.0,인천,인천대학교,430,172,9,18,11,0,178,96,82,0,84.8
2025.0,인천,인하대학교,1954,745,27,305,15,1,765,263,502,0,70.0
2025.0,서울,장로회신학대학교,5,4,0,0,1,0,2,2,0,0,40.0
2025.0,광주,전남대학교,960,158,36,50,10,0,132,76,56,0,52.0
2025.0,전남,전남대학교_제2캠퍼스,149,112,5,27,0,0,84,10,74,0,58.3
2025.0,전북,전북대학교,1112,323,34,223,25,0,443,192,249,2,73.2
2025.0,전북,전주대학교,245,167,13,28,26,0,100,95,4,1,42.7
2025.0,제주,제주국제대학교,208,120,0,0,44,0,80,6,74,0,48.8
2025.0,제주,제주대학교,331,101,36,11,7,0,99,99,0,0,63.9
2025.0,광주,조선대학교,295,121,8,35,30,0,71,71,0,0,36.6
2025.0,충남,중부대학교,971,667,22,18,41,0,571,38,533,0,76.3
2025.0,서울,중앙대학교,4257,1898,32,286,12,5,1442,1435,6,1,64.6
2025.0,경기,중앙대학교_제2캠퍼스,678,0,14,6,598,0,292,292,0,0,47.2
2025.0,경기,중앙승가대학교,4,4,0,0,0,0,0,0,0,0,0.0
2025.0,충북,중원대학교,172,68,5,4,77,0,57,14,43,0,37.0
2025.0,경기,차의과학대학교,29,29,0,0,0,0,29,0,29,0,100.0
2025.0,경남,창신대학교,229,103,3,52,0,0,10,10,0,0,6.3
2025.0,충남,청운대학교,458,268,2,65,15,0,63,44,19,0,18.0
2025.0,충북,청주대학교,1952,851,2,582,281,0,41,41,0,0,2.4
2025.0,전남,초당대학교,349,177,12,68,13,0,52,46,6,0,19.3
2025.0,서울,총신대학교,7,7,0,0,0,0,5,5,0,0,71.4
2025.0,서울,추계예술대학교,45,9,0,0,36,0,0,0,0,0,0.0
2025.0,대전,충남대학교,674,231,31,30,6,1,205,138,64,3,68.6
